Graph Algorithm population nodes edges steps fitness_evaluations covering_size edges_covered fitness
ca-GrQc_clean EA 90 5242 14496 44805 44894 2987 13116 37920421307
ca-GrQc_clean EA 90 5242 14496 44805 44894 3013 13145 37123542977
ca-GrQc_clean EA 50 5242 14496 44845 44894 3256 13700 21872940200
ca-GrQc_clean EA 10 5242 14496 44885 44894 3334 14489 192353282
ca-GrQc_clean EA 90 5242 14496 44805 44894 3060 13140 37260935844
ca-GrQc_clean EA 50 5242 14496 44845 44894 3262 13727 21131018978
ca-GrQc_clean EA 10 5242 14496 44885 44894 3386 14494 54960514
ca-GrQc_clean EA 70 5242 14496 44825 44894 3097 13377 30748516213
ca-GrQc_clean EA 90 5242 14496 44805 44894 3041 13162 36656407417
ca-GrQc_clean EA 90 5242 14496 44805 44894 2985 13112 38030335561
ca-GrQc_clean EA 70 5242 14496 44825 44894 3099 13429 29319630887
ca-GrQc_clean EA 10 5242 14496 44885 44894 3393 14488 219831905
ca-GrQc_clean EA 50 5242 14496 44845 44894 3274 13725 21185976118
ca-GrQc_clean EA 10 5242 14496 44885 44894 3385 14494 54960513
ca-GrQc_clean EA 50 5242 14496 44845 44894 3260 13760 20224226364
ca-GrQc_clean EA 70 5242 14496 44825 44894 3081 13363 31133216093
ca-GrQc_clean EA 10 5242 14496 44885 44894 3353 14491 137396173
ca-GrQc_clean EA 70 5242 14496 44825 44894 3144 13474 28083095552
ca-GrQc_clean EA 70 5242 14496 44825 44894 3151 13461 28440316891
ca-GrQc_clean EA 70 5242 14496 44825 44894 3154 13475 28055616998
ca-GrQc_clean EA 70 5242 14496 44825 44894 3106 13411 29814245046
ca-GrQc_clean EA 90 5242 14496 44805 44894 3015 13099 38387556923
ca-GrQc_clean EA 90 5242 14496 44805 44894 3001 13107 38167728397
ca-GrQc_clean EA 70 5242 14496 44825 44894 3097 13384 30556166265
ca-GrQc_clean EA 40 5242 14496 44855 44894 3364 13967 14536163720
ca-GrQc_clean EA 40 5242 14496 44855 44894 3339 13941 15250606359
ca-GrQc_clean EA 40 5242 14496 44855 44894 3339 13959 14755992207
ca-GrQc_clean EA 60 5242 14496 44835 44894 3174 13542 26214553230
ca-GrQc_clean EA 60 5242 14496 44835 44894 3203 13550 25994724747
ca-GrQc_clean EA 60 5242 14496 44835 44894 3148 13559 25747417616
ca-GrQc_clean EA 40 5242 14496 44855 44894 3311 13899 16404706019
ca-GrQc_clean EA 40 5242 14496 44855 44894 3356 13910 16102441860
ca-GrQc_clean EA 60 5242 14496 44835 44894 3146 13550 25994724690
ca-GrQc_clean EA 20 5242 14496 44875 44894 3611 14352 3956916827
ca-GrQc_clean EA 20 5242 14496 44875 44894 3584 14369 3489781212
ca-GrQc_clean EA 20 5242 14496 44875 44894 3633 14374 3352388441
ca-GrQc_clean EA 40 5242 14496 44855 44894 3364 13957 14810949360
ca-GrQc_clean EA 80 5242 14496 44815 44894 3059 13266 33798636779
ca-GrQc_clean EA 60 5242 14496 44835 44894 3137 13481 27890745597
ca-GrQc_clean EA 40 5242 14496 44855 44894 3362 13945 15140692126
ca-GrQc_clean EA 40 5242 14496 44855 44894 3356 13910 16102441860
ca-GrQc_clean EA 40 5242 14496 44855 44894 3357 13902 16322270373
ca-GrQc_clean EA 100 5242 14496 44795 44894 3006 13110 38085292710
ca-GrQc_clean EA 100 5242 14496 44795 44894 2980 13037 40091227856
ca-GrQc_clean EA 40 5242 14496 44855 44894 3362 13967 14536163718
ca-GrQc_clean EA 60 5242 14496 44835 44894 3139 13514 26983952987
ca-GrQc_clean EA 20 5242 14496 44875 44894 3613 14393 2830295705
ca-GrQc_clean EA 20 5242 14496 44875 44894 3600 14388 2967688512
ca-GrQc_clean EA 60 5242 14496 44835 44894 3195 13602 24565839411
ca-GrQc_clean EA 100 5242 14496 44795 44894 2991 13074 39074520999
ca-GrQc_clean EA 60 5242 14496 44835 44894 3235 13637 23604089711
ca-GrQc_clean EA 20 5242 14496 44875 44894 3556 14364 3627174004
ca-GrQc_clean EA 100 5242 14496 44795 44894 2978 13063 39376785190
ca-GrQc_clean EA 80 5242 14496 44815 44894 3061 13290 33139151245
ca-GrQc_clean EA 80 5242 14496 44815 44894 3087 13280 33413936911
ca-GrQc_clean EA 80 5242 14496 44815 44894 3068 13263 33881072480
ca-GrQc_clean EA 60 5242 14496 44835 44894 3211 13602 24565839427
ca-GrQc_clean EA 80 5242 14496 44815 44894 3020 13236 34622993660
ca-GrQc_clean EA 100 5242 14496 44795 44894 3014 13074 39074521022
ca-GrQc_clean EA 100 5242 14496 44795 44894 2964 13017 40640799120
ca-GrQc_clean EA 80 5242 14496 44815 44894 3029 13231 34760386489
ca-GrQc_clean EA 20 5242 14496 44875 44894 3629 14374 3352388437
ca-GrQc_clean EA 100 5242 14496 44795 44894 2939 13010 40833149043
