Algorithm nodes edges power_exponent steps covering_size edges_covered fitness
EA 246 1002 2.5 10834 140 1002 140
EA 246 1002 2.5 10834 133 1002 133
EA 246 1002 2.5 10834 134 1002 134
EA 246 1002 2.5 10834 142 1002 142
EA 246 1002 2.5 10834 140 1002 140
EA 246 1002 2.5 10834 132 1002 132
EA 246 1002 2.5 10834 137 1002 137
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 137 1002 137
EA 246 1002 2.5 10834 132 1002 132
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 142 1002 142
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 137 1002 137
EA 246 1002 2.5 10834 147 1002 147
EA 246 1002 2.5 10834 132 1002 132
EA 246 1002 2.5 10834 140 1002 140
EA 246 1002 2.5 10834 140 1002 140
EA 246 1002 2.5 10834 138 1002 138
EA 246 1002 2.5 10834 138 1002 138
EA 246 1002 2.5 10834 134 1002 134
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 140 1002 140
EA 246 1002 2.5 10834 138 1002 138
EA 246 1002 2.5 10834 134 1002 134
EA 246 1002 2.5 10834 141 1002 141
EA 246 1002 2.5 10834 137 1002 137
EA 246 1002 2.5 10834 138 1002 138
EA 246 1002 2.5 10834 141 1002 141
EA 246 1002 2.5 10834 132 1002 132
EA 246 1002 2.5 10834 138 1002 138
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 134 1002 134
EA 246 1002 2.5 10834 139 1002 139
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 137 1002 137
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 137 1002 137
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 134 1002 134
EA 246 1002 2.5 10834 145 1002 145
EA 246 1002 2.5 10834 137 1002 137
EA 246 1002 2.5 10834 133 1002 133
EA 246 1002 2.5 10834 131 1002 131
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 138 1002 138
EA 246 1002 2.5 10834 142 1002 142
EA 246 1002 2.5 10834 139 1002 139
EA 246 1002 2.5 10834 133 1002 133
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 139 1002 139
EA 246 1002 2.5 10834 140 1002 140
EA 246 1002 2.5 10834 139 1002 139
EA 246 1002 2.5 10834 134 1002 134
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 141 1002 141
EA 246 1002 2.5 10834 138 1002 138
EA 246 1002 2.5 10834 134 1002 134
EA 246 1002 2.5 10834 140 1002 140
EA 246 1002 2.5 10834 133 1002 133
EA 246 1002 2.5 10834 138 1002 138
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 140 1002 140
EA 246 1002 2.5 10834 143 1002 143
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 138 1002 138
EA 246 1002 2.5 10834 132 1002 132
EA 246 1002 2.5 10834 140 1002 140
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 138 1002 138
EA 246 1002 2.5 10834 139 1002 139
EA 246 1002 2.5 10834 141 1002 141
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 138 1002 138
EA 246 1002 2.5 10834 134 1002 134
EA 246 1002 2.5 10834 133 1002 133
EA 246 1002 2.5 10834 140 1002 140
EA 246 1002 2.5 10834 132 1002 132
EA 246 1002 2.5 10834 134 1002 134
EA 246 1002 2.5 10834 142 1002 142
EA 296 1268 2.5 13474 167 1268 167
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 165 1268 165
EA 296 1268 2.5 13474 163 1268 163
EA 296 1268 2.5 13474 163 1268 163
EA 296 1268 2.5 13474 161 1268 161
EA 296 1268 2.5 13474 164 1268 164
EA 296 1268 2.5 13474 169 1268 169
EA 296 1268 2.5 13474 165 1268 165
EA 296 1268 2.5 13474 166 1268 166
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 159 1268 159
EA 296 1268 2.5 13474 161 1268 161
EA 296 1268 2.5 13474 165 1268 165
EA 296 1268 2.5 13474 158 1268 158
EA 296 1268 2.5 13474 168 1268 168
EA 296 1268 2.5 13474 164 1268 164
EA 296 1268 2.5 13474 156 1268 156
EA 296 1268 2.5 13474 159 1268 159
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 169 1268 169
EA 296 1268 2.5 13474 167 1268 167
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 165 1268 165
EA 296 1268 2.5 13474 159 1268 159
EA 296 1268 2.5 13474 159 1268 159
EA 296 1268 2.5 13474 170 1268 170
EA 296 1268 2.5 13474 159 1268 159
EA 296 1268 2.5 13474 168 1268 168
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 164 1268 164
EA 296 1268 2.5 13474 169 1268 169
EA 296 1268 2.5 13474 167 1268 167
EA 296 1268 2.5 13474 161 1268 161
EA 296 1268 2.5 13474 159 1268 159
EA 296 1268 2.5 13474 161 1268 161
EA 296 1268 2.5 13474 165 1268 165
EA 296 1268 2.5 13474 166 1268 166
EA 296 1268 2.5 13474 165 1268 165
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 166 1268 166
EA 296 1268 2.5 13474 161 1268 161
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 170 1268 170
EA 296 1268 2.5 13474 159 1268 159
EA 296 1268 2.5 13474 163 1268 163
EA 296 1268 2.5 13474 168 1268 168
EA 296 1268 2.5 13474 159 1268 159
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 165 1268 165
EA 296 1268 2.5 13474 163 1268 163
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 158 1268 158
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 161 1268 161
EA 296 1268 2.5 13474 159 1268 159
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 162 1268 162
EA 296 1268 2.5 13474 166 1268 166
EA 296 1268 2.5 13474 165 1268 165
EA 296 1268 2.5 13474 164 1268 164
EA 296 1268 2.5 13474 160 1268 160
EA 296 1268 2.5 13474 163 1268 163
EA 296 1268 2.5 13474 166 1268 166
EA 296 1268 2.5 13474 163 1268 163
