Algorithm nodes edges power_exponent steps covering_size edges_covered fitness
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 193 3103 193
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 191 3103 191
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 185 3103 185
EA 250 3103 2.5 11042 191 3103 191
EA 250 3103 2.5 11042 193 3103 193
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 185 3103 185
EA 250 3103 2.5 11042 188 3103 188
EA 250 3103 2.5 11042 193 3103 193
EA 250 3103 2.5 11042 185 3103 185
EA 250 3103 2.5 11042 187 3103 187
EA 250 3103 2.5 11042 193 3103 193
EA 250 3103 2.5 11042 193 3103 193
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 185 3103 185
EA 250 3103 2.5 11042 191 3103 191
EA 250 3103 2.5 11042 193 3103 193
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 194 3103 194
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 187 3103 187
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 193 3103 193
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 188 3103 188
EA 250 3103 2.5 11042 193 3103 193
EA 250 3103 2.5 11042 191 3103 191
EA 250 3103 2.5 11042 185 3103 185
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 184 3103 184
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 187 3103 187
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 186 3103 186
EA 250 3103 2.5 11042 194 3103 194
EA 250 3103 2.5 11042 194 3103 194
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 221 3331 221
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 216 3331 216
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 226 3331 226
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 222 3331 222
